id,CNN_repr,hyper_param,width,height,transform_train,transform_test,train_progress(%),accuracy,score
0,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (2304 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",63,63,"[{'type': 'Resize', 'size': (64, 64), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (63, 63), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomVerticalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (64, 64), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (63, 63)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.5243820975283902,0.7197172122021793
1,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (2304 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",63,63,"[{'type': 'Resize', 'size': (64, 64), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (63, 63), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomHorizontalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (64, 64), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (63, 63)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.5250501002004008,0.7196893787575118
2,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (3136 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",71,71,"[{'type': 'Resize', 'size': (72, 72), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (71, 71), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomVerticalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (72, 72), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (71, 71)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.4976619906479626,0.700846136717875
3,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (3136 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",71,71,"[{'type': 'Resize', 'size': (72, 72), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (71, 71), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomHorizontalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (72, 72), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (71, 71)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.509686038744155,0.7093075038966785
4,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (4096 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",79,79,"[{'type': 'Resize', 'size': (80, 80), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (79, 79), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomVerticalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (80, 80), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (79, 79)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.5110220440881763,0.7057169895346205
5,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (4096 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",79,79,"[{'type': 'Resize', 'size': (80, 80), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (79, 79), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomHorizontalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (80, 80), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (79, 79)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.5400801603206413,0.7275662435983047
6,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (5184 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",87,87,"[{'type': 'Resize', 'size': (88, 88), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (87, 87), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomVerticalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (88, 88), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (87, 87)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.5160320641282565,0.7133155199287421
7,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (5184 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",87,87,"[{'type': 'Resize', 'size': (88, 88), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (87, 87), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomHorizontalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]","[{'type': 'Resize', 'size': (88, 88), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (87, 87)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.485, 0.456, 0.406], 'std': [0.229, 0.224, 0.225]}]",100,0.4946559786239145,0.7006234691605381
8,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (576 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",39,39,"[{'type': 'Resize', 'size': (40, 40), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (39, 39), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomVerticalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.2, 0.2, 0.2], 'std': [0.2, 0.2, 0.2]}]","[{'type': 'Resize', 'size': (40, 40), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (39, 39)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.2, 0.2, 0.2], 'std': [0.2, 0.2, 0.2]}]",100,0.518370073480294,0.7191605433088362
9,"ShortNet (
  (layer1): Sequential (
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (layer2): Sequential (
    (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1))
    (1): ReLU ()
    (2): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1))
    (3): ReLU ()
    (4): MaxPool2d (size=(2, 2), stride=(2, 2), dilation=(1, 1))
  )
  (fc1): Linear (576 -> 120)
  (fc2): Linear (120 -> 84)
  (fc3): Linear (84 -> 4)
)","OrderedDict([('criterion', CrossEntropyLoss (
)), ('num_epochs', 5), ('optimizer_args', {'lr': 0.001}), ('optimizer_func', <class 'torch.optim.adam.Adam'>)])",39,39,"[{'type': 'Resize', 'size': (40, 40), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (39, 39), 'scale': (0.08, 1.0), 'ratio': (0.75, 1.3333333333333333), 'interpolation': 2}, {'type': 'RandomHorizontalFlip'}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.2, 0.2, 0.2], 'std': [0.2, 0.2, 0.2]}]","[{'type': 'Resize', 'size': (40, 40), 'interpolation': 2}, {'type': 'RandomResizedCrop', 'size': (39, 39)}, {'type': 'ToTensor'}, {'type': 'Normalize', 'mean': [0.2, 0.2, 0.2], 'std': [0.2, 0.2, 0.2]}]",100,0.5875083500334002,0.7564573591627676
